unit_id,line_id,furnace_temp_c,roller_pressure_bar,line_speed_mpm,lubricant_flow_lph,vibration_rms_mms,ambient_humidity_pct,cooling_rate_cps,tension_variation_kn,defect_class
UNIT-11651,LINE-A,853.83,157.86,49.54,32.75,1.46,37.17,18.98,0.38,normal
UNIT-12457,LINE-B,848.99,159.92,36.27,21.8,1.99,85.55,15.76,0.36,rust
UNIT-12233,LINE-A,826.54,150.91,30.13,13.53,1.66,67.75,17.28,0.58,rust
UNIT-11946,LINE-C,835.75,148.65,53.45,27.37,1.23,41.1,15.38,0.73,normal
UNIT-10310,LINE-C,895.48,183.15,47.71,30.33,1.56,45.23,24.32,2.47,crack
UNIT-12342,LINE-A,832.66,150.29,29.18,16.01,1.28,73.39,15.08,0.49,rust
UNIT-11667,LINE-B,835.95,153.11,53.11,30.95,0.87,46.78,17.12,0.55,normal
UNIT-11682,LINE-A,847.93,153.01,53.47,30.63,1.69,45.71,18.04,0.67,normal
UNIT-11188,LINE-A,896.62,178.69,53.53,30.28,1.27,36.46,17.91,1.76,hole
UNIT-10326,LINE-C,908.42,166.09,48.15,34.38,1.89,44.97,31.89,1.48,crack
UNIT-11648,LINE-A,836.32,152.3,47.76,34.39,1.87,46.27,18.19,0.39,normal
UNIT-12821,LINE-B,842.43,144.7,66.96,17.78,3.39,44.32,18.14,0.39,scratch
UNIT-13176,LINE-A,833.33,153.58,59.41,11.9,6.56,41.38,15.03,0.61,scratch
UNIT-10788,LINE-B,882.3,199.66,50.11,31.66,1.1,39.99,18.68,2.81,hole
UNIT-10558,LINE-B,936.1,178.86,50.64,31.31,1.38,45.35,25.6,1.83,crack
UNIT-10756,LINE-B,876.42,197.72,47.11,32.3,1.91,43.49,18.76,1.91,hole
UNIT-10943,LINE-C,875.28,181.42,53.64,29.43,2.01,39.45,18.38,2.72,hole
UNIT-11460,LINE-A,824.26,142.65,53.4,32.03,1.75,46.15,17.08,0.49,normal
UNIT-13335,LINE-A,842.12,148.43,64.34,17.4,6.77,41.62,17.63,0.47,scratch
UNIT-12561,LINE-A,845.81,145.31,31.38,15.63,1.35,74.52,14.21,0.68,rust
UNIT-10185,LINE-B,889.72,164.55,51.57,29.46,1.39,39.66,29.99,1.78,crack
UNIT-11972,LINE-B,839.19,147.8,50.62,32.34,1.43,44.52,15.94,0.47,normal
UNIT-10315,LINE-A,922.45,178.29,48.57,34.19,2.17,41.58,26.81,1.66,crack
UNIT-11502,LINE-A,845.86,147.45,50.22,33.82,1.39,50.68,14.92,0.79,normal
UNIT-11095,LINE-B,877.46,193.65,49.06,29.99,2.14,39.22,15.91,2.17,hole
UNIT-11337,LINE-B,889.86,173.86,49.87,28.4,1.1,42.18,15.93,2.76,hole
UNIT-10694,LINE-A,874.6,168.73,52.09,29.86,1.37,47.17,22.88,1.42,crack
UNIT-10347,LINE-B,911.89,178.41,54.24,30.64,1.64,33.52,34.37,1.72,crack
UNIT-11615,LINE-B,851.59,152.58,53.94,34.92,1.95,36.46,16.64,0.4,normal
UNIT-13490,LINE-B,840.43,148.8,67.12,15.96,5.34,49.62,19.01,0.49,scratch
UNIT-13188,LINE-A,831.26,152.49,62.39,20.95,5.79,39.89,18.11,0.45,scratch
UNIT-11922,LINE-C,834.02,141.9,50.85,33.79,1.84,42.95,15.78,0.61,normal
UNIT-12351,LINE-A,849.49,139.84,40.31,10.13,2.05,79.73,18.23,0.43,rust
UNIT-10890,LINE-B,902.06,181.22,49.23,29.31,1.88,44.02,17.91,1.67,hole
UNIT-13298,LINE-A,844.31,145.14,68.19,18.81,3.58,43.74,20.51,0.42,scratch
UNIT-13078,LINE-A,849.06,139.83,74.72,12.34,3.76,44.08,16.36,0.41,scratch
UNIT-10171,LINE-A,887.78,165.67,48.43,32.03,1.89,39.87,27.31,2.28,crack
UNIT-10180,LINE-C,909.08,182.38,46.85,30.77,1.49,42.73,28.39,1.95,crack
UNIT-10613,LINE-A,875.88,178.66,52.57,30.51,1.26,40.92,30.28,1.84,crack
UNIT-12241,LINE-B,834.98,152.96,35.38,13.92,1.85,83.17,15.37,0.4,rust
UNIT-11552,LINE-A,851.22,152.14,50.33,32.43,1.48,51.98,15.78,0.53,normal
UNIT-13064,LINE-A,842.65,146.45,71.05,18.23,4.54,39.28,16.62,0.59,scratch
UNIT-10840,LINE-A,887.83,177.94,50.37,33.63,1.58,50.88,19.66,2.68,hole
UNIT-12091,LINE-A,840.95,152.64,51.09,32.26,1.66,54.14,15.92,0.49,normal
UNIT-12072,LINE-A,842.42,147.35,48.65,31.22,2.02,43.99,15.55,0.36,normal
UNIT-10027,LINE-B,892.02,183.57,48.25,31.98,0.97,51.08,25.97,1.96,crack
UNIT-11923,LINE-B,839.94,154.11,48.4,32.61,1.76,38.16,15.45,0.16,normal
